Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
35,Fournier Toby,35,0,708,20.2,173,329,0.526,6,14,0.429,110,169,0.651,462,13.2,76,110,186,5.3,63,14,63,27,39
03,Jackson Ashlon,37,37,1076,29.1,157,422,0.372,87,234,0.372,59,68,0.868,460,12.4,7,81,88,2.4,45,78,53,37,7
05,Okananwa Oluchi,37,0,831,22.5,141,298,0.473,27,90,0.300,65,93,0.699,374,10.1,90,106,196,5.3,83,65,66,65,9
24,Richardson Reigan,37,37,1008,27.2,143,371,0.385,37,121,0.306,35,47,0.745,358,9.7,45,58,103,2.8,79,89,81,31,10
12,Thomas Delaney,37,37,800,21.6,108,206,0.524,0,1,0.000,47,61,0.770,263,7.1,71,102,173,4.7,89,34,43,54,9
22,Mair Taina,37,37,910,24.6,102,245,0.416,34,90,0.378,11,16,0.688,249,6.7,34,78,112,3.0,48,134,74,55,6
04,Donovan Jadyn,37,37,916,24.8,85,189,0.450,0,0,0.000,20,46,0.435,190,5.1,79,156,235,6.4,85,78,65,49,49
13,Wood Jordan,36,0,428,11.9,57,121,0.471,11,38,0.289,23,35,0.657,148,4.1,31,78,109,3.0,46,22,31,19,18
02,de Jesus Vanessa,36,0,449,12.5,40,84,0.476,13,36,0.361,17,25,0.680,110,3.1,15,34,49,1.4,31,65,37,22,3
15,Koabel Emma,30,0,233,7.8,15,44,0.341,8,32,0.250,6,10,0.600,44,1.5,8,18,26,0.9,21,24,8,13,3
07,Battiston Louann,12,0,44,3.7,6,14,0.429,2,7,0.286,1,4,0.250,15,1.3,0,1,1,0.1,5,5,5,4,0
42,Cotton Jenessa,8,0,44,5.5,4,14,0.286,0,2,0.000,0,4,0.000,8,1.0,1,5,6,0.8,8,2,8,1,2
53,Martin Olivia,3,0,3,1.0,0,1,0.000,0,0,0.000,0,0,0.000,0,0.0,0,0,0,0.0,1,0,0,0,0